# X, Y
0.302,1.314
0.402,-0.879
0.503,2.047
0.603,-1.667
0.704,2.272
0.804,4.297
1.206,3.168
1.307,2.845
1.407,4.773
1.608,2.405
1.709,6.416
1.910,6.501
2.111,3.024
2.412,6.872
2.714,0.784
2.814,-3.143
2.915,-0.967
3.015,-1.753
3.116,-0.766
3.317,-4.831
3.819,-3.476
4.020,0.882
4.121,-2.666
4.221,-6.582
4.322,-1.009
4.623,-0.251
4.724,-2.249
4.925,-1.124
5.126,1.183
5.226,-2.696
5.327,-4.329
5.427,-4.115
5.528,-5.538
6.131,-7.267
6.432,-2.403
6.533,-2.036
6.834,-1.272
7.035,5.498
7.136,4.843
7.739,17.138
8.141,16.103
8.342,11.957
8.442,10.780
8.643,8.159
8.844,2.340
8.945,-2.008
9.347,-8.497
9.548,-11.228
9.648,-13.486
10.050,-9.344
10.151,-10.031
10.452,-4.418
10.754,-4.882
10.955,-1.864
11.055,-3.346
11.156,-3.601
11.357,-6.036
11.457,-6.792
11.658,-11.002
11.759,-11.829
11.960,-12.374
12.161,-11.113
12.462,-11.133
12.563,-12.307
13.266,7.267
13.367,15.874
13.769,24.479
13.970,34.361
14.171,30.497
14.271,34.531
14.372,34.897
14.472,31.364
14.573,26.360
14.673,26.252
15.075,7.638
15.176,4.773
15.276,-1.753
15.377,-4.833
15.678,-18.315
15.779,-18.250
15.879,-20.421
16.181,-17.668
16.482,-18.907
16.583,-10.328
16.683,-11.200
16.985,-7.189
17.186,-7.618
17.286,-8.152
17.688,-9.187
17.789,-14.700
17.889,-8.268
18.291,-20.282
18.392,-22.841
18.593,-24.030
18.794,-19.963
18.995,-17.124
19.397,5.179
19.598,17.712
19.698,22.941
19.899,32.932
